featureName,score
user_id_nexttime_delta,461
item_sales_level,452
user_id_rate,367
item_id_rate,287
user_star_level,280
item_id_hour_rate,262
user_category_id_nexttime_delta,251
std_minuite,244
item_id_nexttime_delta,216
shop_score_delivery,212
shop_id_rate,202
predict_category_property_A_click,196
user_id_day_predict_category_property_A_click,194
sale_collect,194
user_age_level,191
shop_score_description,189
user_id_item_id_rate,187
shop_id_hour_rate,187
item_id_hour_browse,180
user_item_id_nexttime_delta,178
instance_id,172
sale_price,168
context_id,167
item_category_2,165
predict_category_property_C_click,164
item_category_2_click,162
predict_category_property_B_click,157
user_id_lasttime_delta,155
item_id_day_rate,149
item_city_id_rate,149
item_brand_id_rate,144
item_brand_id_hour_rate,144
item_category_3,143
shop_score_service,140
predict_category_property_A_1_click,140
shop_review_num_level,140
user_id_predict_category_property_A_time_diff,139
shop_id_day_rate,137
shop_id_nexttime_delta,137
item_id,136
shop_review_positive_rate,133
predict_category_property_A,133
std_hour,132
shop_id,132
tm_hour_sin,131
shop_id_lasttime_delta,131
item_brand_id,130
price_collect,129
item_id_browse,127
predict_category_property_A_1,126
shop_id_hour_browse,125
user_id_item_id_browse,125
item_property_list_3,125
item_city_id_lasttime_delta,121
predict_category_property_A_2_click,121
mean_minuite,120
predict_category_property_C,118
tm_hour,117
user_id_day_item_category_2_click,114
item_brand_id_nexttime_delta,111
shop_id_browse,111
user_category_id_lasttime_delta,110
item_brand_id_lasttime_delta,110
item_city_id,109
item_city_id_hour_rate,109
predict_category_property_B,108
sec,108
mean_hour,108
user_id,104
context_page_id_click,104
min,102
predict_category_property_B_1_click,101
predict_category_property_B_2_click,100
item_id_day_browse,100
user_id_predict_category_property_B_time_diff,100
shop_id_click,98
item_city_id_day_rate,97
context_page_id_browse,97
item_brand_id_day_rate,96
context_page_id_rate,95
item_property_list_2,94
user_query_day,94
item_id_lasttime_delta,91
max_hour,90
item_city_id_browse,89
user_id_item_category_rate,89
context_page_id_day_browse,88
user_id_click,88
shop_id_day_browse,88
predict_category_property_B_1,88
shop_star_level,86
min_minuite,86
predict_category_property_A_2,86
item_brand_id_day_browse,84
item_collected_level,82
item_property_list_3_click,81
max_minuite,80
predict_category_property_B_3,80
predict_category_property_C_1,79
tm_hour_cos,78
item_property_list_1_click,76
user_id_predict_category_property_C_time_diff,76
shop_id_trade_prep_count,76
item_brand_id_trade_prep_count,73
predict_category_property_B_2,72
predict_category_property_C_2_click,72
user_city_id_nexttime_delta,72
item_brand_id_click,72
item_price_level,72
item_pv_level,71
item_city_id_day_browse,70
user_id_day_rate,70
item_city_id_click,70
predict_category_property_C_1_click,68
context_page_id_hour_rate,68
item_brand_id_browse,67
item_property_list_1,66
item_property_list_2_click,65
item_city_id_day_click,65
item_id_trade_prep_count,64
item_brand_id_hour_browse,62
predict_category_property_C_2,61
predict_category_property_C_3,60
user_id_day_predict_category_property_B_1_click,60
item_city_id_hour_browse,56
context_page_id_day_click,54
user_brand_id_nexttime_delta,54
item_city_id_nexttime_delta,53
item_id_click,52
item_city_id_hour_click,52
user_id_browse,52
context_page_id_day_rate,51
shop_id_hour_click,50
user_shop_id_nexttime_delta,49
user_id_context_page_id_rate,49
min_hour,49
user_id_item_city_id_browse,49
user_id_day_predict_category_property_C_1_click,48
item_id_day_click,47
user_id_shop_id_browse,47
item_city_id_trade_prep_count,44
user_city_id_lasttime_delta,43
user_id_day_item_id_click,42
user_id_day_predict_category_property_A_1_click,41
user_occupation_id,41
item_id_hour_click,40
shop_id_day_click,40
item_brand_id_day_click,40
item_brand_id_hour_click,38
user_gender_id,37
user_id_hour_predict_category_property_A_click,36
user_id_hour_predict_category_property_B_1_click,36
predict_category_property_A_3,35
user_id_context_page_id_day_rate,35
user_id_item_category_browse,33
user_id_day_shop_id_click,32
user_id_day_predict_category_property_B_click,31
user_id_shop_id_rate,29
user_query_day_hour,29
user_id_hour_rate,29
user_id_day_hour_predict_category_property_A_click,28
user_id_day_hour_predict_category_property_B_1_click,28
user_id_day_browse,28
context_page_id_hour_browse,27
user_id_day_item_property_list_2_click,26
user_id_day_predict_category_property_C_click,26
user_brand_id_lasttime_delta,25
user_id_day_hour_predict_category_property_C_click,24
user_id_day_context_page_id_click,24
user_id_hour_item_property_list_2_click,23
user_id_day_hour_item_property_list_2_click,23
user_query_day_hour_min,23
user_id_day_item_property_list_1_click,23
user_id_hour_item_category_2_click,22
context_page_id,20
user_id_day_hour_predict_category_property_A_1_click,20
user_id_hour_predict_category_property_B_click,20
user_id_context_page_id_browse,19
user_id_hour_context_page_id_click,19
user_id_hour_predict_category_property_C_click,19
user_id_day_item_city_id_click,19
user_id_item_city_id_rate,19
user_id_day_hour_predict_category_property_C_1_click,19
user_id_day_hour_item_id_click,18
context_page_id_hour_click,18
user_query_day_hour_min_sec,18
user_id_context_page_id_click,17
user_id_item_category_day_rate,16
user_id_day_hour_item_category_2_click,16
user_id_context_page_id_day_browse,16
user_item_id_lasttime_delta,15
user_id_item_brand_id_browse,15
user_id_day_hour_predict_category_property_B_click,15
user_id_hour_predict_category_property_C_1_click,14
user_id_item_category_hour_rate,14
user_id_hour_item_id_click,14
user_shop_id_lasttime_delta,13
user_id_hour_predict_category_property_A_1_click,13
user_id_item_category_day_browse,13
user_id_trade_prep_count,13
user_id_day_hour_item_property_list_1_click,13
user_id_item_category_click,12
user_id_hour_shop_id_click,12
user_id_day_hour_context_page_id_click,12
user_id_hour_browse,11
user_id_day_hour_item_property_list_3_click,11
user_id_item_brand_id_rate,10
user_id_item_city_id_day_browse,10
user_id_day_item_brand_id_click,10
user_id_item_city_id_hour_browse,10
user_id_hour_item_city_id_click,9
user_id_day_hour_item_city_id_click,9
user_id_day_hour_item_brand_id_click,9
user_id_item_brand_id_day_rate,8
user_id_hour_item_brand_id_click,8
user_id_item_city_id_day_rate,8
user_id_hour_item_property_list_3_click,7
user_id_day_item_property_list_3_click,7
hour,6
user_id_context_page_id_hour_rate,6
user_id_hour_item_property_list_1_click,6
user_id_shop_id_click,6
user_id_item_category_hour_browse,6
user_id_item_brand_id_day_browse,5
user_id_day_hour_shop_id_click,5
user_id_context_page_id_hour_browse,4
user_id_shop_id_day_browse,4
user_id_item_brand_id_day_click,3
user_id_shop_id_hour_browse,3
user_id_item_id_day_browse,2
user_id_hour_click,2
user_id_day_click,2
user_id_item_id_day_rate,2
user_id_item_brand_id_hour_rate,2
user_id_item_city_id_click,2
user_id_item_id_hour_rate,1
user_id_item_brand_id_click,1
user_id_item_brand_id_hour_browse,1
